127.0.0.1 - - [24/Aug/2026 15:45:50] "GET /css/training.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:45:50] "GET /css/combo.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:45:50] "GET /js/config.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:45:50] "GET /css/dashboard.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:45:50] "GET /css/progress.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:45:50] "GET /css/history.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:45:50] "GET /data/tricks.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:45:50] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:45:50] "GET /js/training.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:45:50] "GET /js/history.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:45:50] "GET /js/dashboard.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:45:50] "GET /js/custom-tricks.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:45:50] "GET /js/combo-calculator.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:45:52] "GET /pages/dashboard.html HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:45:52] "GET /pages/training.html HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:45:52] "GET /pages/history.html HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:45:52] "GET /pages/combo-calculator.html HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:45:53] "GET /pages/custom-tricks.html HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:45:54] "GET /pages/combo-calculator.html HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:46:20] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:46:20] "GET /css/global.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:46:20] "GET /css/training.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:46:20] "GET /css/dashboard.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:46:20] "GET /css/history.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:46:20] "GET /js/config.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:46:20] "GET /css/combo.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:46:20] "GET /css/progress.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:46:20] "GET /data/tricks.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:46:20] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:46:20] "GET /js/training.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:46:20] "GET /js/custom-tricks.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:46:20] "GET /js/history.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:46:20] "GET /js/dashboard.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:46:20] "GET /js/combo-calculator.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 15:46:20] "GET /pages/training.html HTTP/1.1" 200 -
